run,dims,gamma,lambda,kendall_borda,kendall_copeland,tau_borda,tau_copeland,welfare_platform,welfare_borda,welfare_copeland,entropy,entropy_norm,HHI,top1_exposure_share,entropy_neutral_norm,condorcet_exists
0,1,0.0,0.0,0.0482758620689655,0.013793103448275834,0.903448275862069,0.9724137931034483,833.6015853335027,831.1926787865755,833.567646964222,1.219878099051138,0.6808269301775751,0.36616827419347237,0.48092613604205653,0.6808269301775751,True
0,1,0.0,0.6,0.15172413793103445,0.1218390804597701,0.6965517241379311,0.7563218390804598,818.4187040623503,831.1926787865755,833.567646964222,1.6234490953227259,0.906064191764622,0.22539082030219645,0.33374424282714377,0.6808269301775751,True
0,1,1.0,0.0,0.43448275862068964,0.4459770114942529,0.1310344827586207,0.10804597701149425,741.2592424023621,831.1926787865755,833.567646964222,1.0477659841051534,0.5847693298680113,0.45755069765716727,0.6264057633967994,0.6808269301775751,True
0,1,1.0,0.6,0.41839080459770117,0.4206896551724138,0.1632183908045977,0.15862068965517243,749.3665086119358,831.1926787865755,833.567646964222,1.2993038756183797,0.7251553001018377,0.35456098027043925,0.5275442362836504,0.6808269301775751,True
0,1,2.0,0.0,0.4574712643678161,0.4689655172413793,0.08505747126436781,0.06206896551724138,731.8347405308582,831.1926787865755,833.567646964222,1.0251060750264958,0.5721225938145275,0.47116140798653666,0.6421593756975903,0.6808269301775751,True
0,1,2.0,0.6,0.4528735632183908,0.45977011494252873,0.0942528735632184,0.08045977011494253,736.2476172628104,831.1926787865755,833.567646964222,1.1550115609153258,0.6446242259363866,0.42184492071026203,0.5992814685795606,0.6808269301775751,True
1,1,0.0,0.0,0.05517241379310345,0.05517241379310345,0.8896551724137931,0.8896551724137931,799.7666363521361,800.0227786201011,799.8710675270587,1.0900330248079602,0.6083590144371219,0.4614258301169959,0.6502907759273228,0.6083590144371219,False
1,1,0.0,0.6,0.24137931034482757,0.22298850574712642,0.5172413793103449,0.5540229885057472,782.3858608259678,800.0227786201011,799.8710675270587,1.655961025180453,0.9242094453079084,0.2140995558595653,0.3379147408553597,0.6083590144371219,False
1,1,1.0,0.0,0.4252873563218391,0.4436781609195402,0.14942528735632182,0.11264367816091954,745.0081926092237,800.0227786201011,799.8710675270587,0.8350045246412215,0.46602489842063854,0.5976517481022046,0.7577562323024272,0.6083590144371219,False
1,1,1.0,0.6,0.43448275862068964,0.4436781609195402,0.1310344827586207,0.11264367816091954,747.1627279897629,800.0227786201011,799.8710675270587,1.0836970178171077,0.6048228216056242,0.4654973838855531,0.6478278498955639,0.6083590144371219,False
1,1,2.0,0.0,0.4436781609195402,0.46206896551724136,0.11264367816091954,0.07586206896551725,735.8399547777262,800.0227786201011,799.8710675270587,0.8514374800529045,0.4751963054615416,0.5898939052117845,0.7525706923691834,0.6083590144371219,False
1,1,2.0,0.6,0.4482758620689655,0.46206896551724136,0.10344827586206898,0.07586206896551725,735.570239860182,800.0227786201011,799.8710675270587,0.9352903616076212,0.5219954897241721,0.5479761297524521,0.7198399115889187,0.6083590144371219,False
2,1,0.0,0.0,0.08045977011494254,0.05057471264367813,0.8390804597701149,0.8988505747126437,825.6422853156729,822.7146846108111,825.0425168189346,1.0748263827704085,0.5998720259218034,0.446885665067613,0.6341778739974208,0.5998720259218034,False
2,1,0.0,0.6,0.20459770114942527,0.17471264367816092,0.5908045977011495,0.6505747126436782,807.3218254613371,822.7146846108111,825.0425168189346,1.4213647085553796,0.7932787480496738,0.2785694480411737,0.42439128508125684,0.5998720259218034,False
2,1,1.0,0.0,0.496551724137931,0.4850574712643678,0.006896551724137931,0.029885057471264367,750.3979703365144,822.7146846108111,825.0425168189346,0.9532663052689038,0.5320280549038204,0.49805316499893554,0.6650293186745598,0.5998720259218034,False
2,1,1.0,0.6,0.4942528735632184,0.4827586206896552,0.011494252873563218,0.03448275862068966,750.6780679089655,822.7146846108111,825.0425168189346,1.134085862430629,0.6329453712440699,0.4106258650031491,0.5832699311819053,0.5998720259218034,False
2,1,2.0,0.0,0.5195402298850574,0.5080459770114942,-0.03908045977011494,-0.016091954022988506,744.7657490833247,822.7146846108111,825.0425168189346,0.9532178355403774,0.5320010034332638,0.4978643543215223,0.6650293186745598,0.5998720259218034,False
2,1,2.0,0.6,0.5103448275862069,0.49885057471264366,-0.020689655172413793,0.0022988505747126436,745.1744328298951,822.7146846108111,825.0425168189346,1.0643259545540515,0.594011625350916,0.44764009386673265,0.6225723060540606,0.5998720259218034,False
3,1,0.0,0.0,0.06896551724137928,0.027586206896551668,0.8620689655172414,0.9448275862068967,826.4472866593949,818.1407268557166,825.6984335262466,1.1030783894632277,0.6156397710784628,0.4738533346733126,0.6635088345597171,0.6156397710784628,True
3,1,0.0,0.6,0.20459770114942527,0.1724137931034483,0.5908045977011495,0.6551724137931034,806.6119629949931,818.1407268557166,825.6984335262466,1.5969322898907947,0.8912648808708695,0.24239411000134786,0.4025049991255353,0.6156397710784628,True
3,1,1.0,0.0,0.42298850574712643,0.41379310344827586,0.15402298850574714,0.17241379310344826,736.2295015971413,818.1407268557166,825.6984335262466,1.1260701191482592,0.6284716997384726,0.4614900137213824,0.6541630103509501,0.6156397710784628,True
3,1,1.0,0.6,0.4482758620689655,0.43908045977011495,0.10344827586206898,0.12183908045977011,734.9131285420207,818.1407268557166,825.6984335262466,1.2344777386218346,0.688975144165799,0.4147180127063029,0.6137790820756388,0.6156397710784628,True
